,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,WIDTH,DEPTH,VELOCITY
Je04,0.134,0.066,0.047,0.041,0.042,0.083,0.052,0.066,0.047,0.002,0.000,1.416,1.310,0.060,0.047,0.044,0.044,0.001,0.000,2.332,2.321,0.065,0.062,0.051,0.051,0.001,0.001,1.478,1.080,0.058,0.055,0.049,0.049,0.000,0.000,2.222,2.165,1.000,5.000,6.000,12.000,0.000,0.000,0.000,0.000,33.333,71.429,42.857,40.000,0.000,0.000,0.000,0.000,0.043,0.012,-0.001,0.001,6.400,0.310,0.586
Je05,0.851,0.599,0.453,0.436,0.440,0.634,0.496,0.599,0.453,0.041,0.008,0.774,1.660,0.525,0.471,0.453,0.453,0.024,0.003,2.040,2.468,0.566,0.552,0.507,0.507,0.020,0.014,0.957,0.812,0.542,0.532,0.515,0.515,0.010,0.007,1.732,1.683,1.000,5.000,7.000,10.000,0.000,0.000,0.000,0.000,33.333,71.429,50.000,33.333,0.000,0.000,0.000,0.000,0.199,0.054,-0.009,0.002,6.400,0.350,0.639
Je06,0.787,0.567,0.432,0.419,0.422,0.595,0.473,0.567,0.432,0.032,0.007,0.691,1.680,0.498,0.450,0.432,0.432,0.019,0.003,2.011,2.468,0.537,0.525,0.484,0.484,0.016,0.012,0.906,0.812,0.515,0.506,0.491,0.491,0.008,0.006,1.686,1.675,1.000,5.000,7.000,9.000,0.000,0.000,0.000,0.000,33.333,71.429,50.000,30.000,0.000,0.000,0.000,0.000,0.177,0.048,-0.009,0.001,5.000,0.320,0.646
Je07,0.100,0.115,0.060,0.059,0.059,0.092,0.078,0.100,0.060,0.001,0.001,-1.191,1.731,0.073,0.068,0.060,0.060,0.001,0.000,1.374,2.644,0.069,0.067,0.062,0.062,0.000,0.000,2.230,3.143,0.067,0.066,0.064,0.064,0.000,0.000,3.277,4.400,1.000,5.000,10.000,24.000,0.000,0.000,0.000,0.000,33.333,71.429,71.429,80.000,0.000,0.000,0.000,0.000,0.020,0.008,0.002,0.000,2.300,0.220,0.370
Je08,0.486,0.285,0.214,0.200,0.203,0.329,0.233,0.285,0.214,0.020,0.002,1.250,1.541,0.257,0.219,0.210,0.210,0.011,0.001,2.263,2.379,0.288,0.280,0.246,0.246,0.010,0.008,1.053,0.993,0.268,0.260,0.246,0.246,0.006,0.004,1.858,1.996,1.000,5.000,6.000,11.000,0.000,0.000,0.000,0.000,33.333,71.429,42.857,36.667,0.000,0.000,0.000,0.000,0.136,0.036,-0.007,0.002,2.500,0.450,0.396
Je09,0.210,0.123,0.081,0.075,0.076,0.138,0.093,0.123,0.081,0.004,0.001,0.953,1.650,0.103,0.085,0.079,0.079,0.003,0.000,2.120,2.534,0.113,0.108,0.093,0.093,0.002,0.001,1.174,0.867,0.103,0.099,0.091,0.091,0.001,0.001,2.001,1.902,1.000,5.000,8.000,20.000,0.000,0.000,0.000,0.000,33.333,71.429,57.143,66.667,0.000,0.000,0.000,0.000,0.064,0.017,-0.002,0.001,2.400,0.290,0.267
Je10,0.153,0.053,0.035,0.026,0.027,0.080,0.038,0.053,0.035,0.004,0.000,1.567,1.056,0.050,0.033,0.030,0.030,0.002,0.000,2.439,2.052,0.062,0.059,0.044,0.044,0.002,0.001,1.243,1.132,0.052,0.049,0.041,0.041,0.001,0.001,2.027,2.195,0.000,4.000,4.000,4.000,0.000,0.000,0.000,0.000,0.000,57.143,28.571,13.333,0.000,0.000,0.000,0.000,0.059,0.015,-0.003,0.001,1.050,0.240,0.377
Ki01,0.099,0.107,0.120,0.138,0.165,0.109,0.122,0.107,0.120,0.000,0.000,0.634,0.519,0.156,0.177,0.138,0.165,0.003,0.004,0.909,0.253,0.164,0.167,0.154,0.155,0.002,0.002,0.690,0.884,0.172,0.176,0.178,0.181,0.001,0.001,-0.031,-0.026,3.000,4.000,7.000,10.000,0.000,0.000,0.000,0.000,100.000,57.143,50.000,33.333,0.000,0.000,0.000,0.000,-0.010,-0.025,-0.003,-0.002,3.600,0.410,0.298
Ki02,0.081,0.088,0.098,0.114,0.137,0.089,0.100,0.088,0.098,0.000,0.000,0.580,0.627,0.130,0.150,0.114,0.137,0.003,0.003,0.991,0.385,0.141,0.143,0.134,0.134,0.002,0.002,0.681,0.877,0.148,0.152,0.156,0.161,0.001,0.001,-0.098,-0.125,3.000,4.000,7.000,11.000,0.000,0.000,0.000,0.000,100.000,57.143,50.000,36.667,0.000,0.000,0.000,0.000,-0.009,-0.022,-0.004,-0.002,2.760,0.310,0.210
Ki03,0.021,0.022,0.023,0.025,0.027,0.022,0.023,0.022,0.023,0.000,0.000,0.634,0.519,0.026,0.029,0.025,0.027,0.000,0.000,0.984,0.460,0.028,0.028,0.026,0.026,0.000,0.000,0.752,0.897,0.028,0.028,0.026,0.027,0.000,0.000,0.761,0.754,3.000,5.000,9.000,19.000,0.000,0.000,0.000,0.000,100.000,71.429,64.286,63.333,0.000,0.000,0.000,0.000,-0.001,-0.003,0.000,0.000,1.150,0.130,0.289
