,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,WIDTH,DEPTH,VELOCITY
Tr19,0.129,0.123,0.139,0.176,0.153,0.130,0.146,0.129,0.139,0.000,0.001,0.837,1.120,0.138,0.138,0.129,0.130,0.000,0.000,1.345,1.337,0.140,0.143,0.139,0.141,0.000,0.000,0.850,0.609,0.149,0.150,0.139,0.141,0.001,0.001,1.555,1.540,3.000,6.000,13.000,24.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,80.000,0.000,0.000,0.000,0.000,-0.005,0.000,-0.001,0.000,3.600,0.220,0.491
Tr20,0.021,0.026,0.019,0.053,0.053,0.022,0.032,0.021,0.026,0.000,0.000,1.305,1.445,0.030,0.030,0.021,0.023,0.000,0.000,1.148,1.128,0.032,0.033,0.030,0.032,0.000,0.000,0.779,0.446,0.038,0.038,0.030,0.032,0.000,0.000,1.408,1.403,3.000,5.000,10.000,18.000,0.000,0.000,0.000,0.000,100.000,71.429,71.429,60.000,0.000,0.000,0.000,0.000,0.001,-0.001,-0.001,0.000,2.000,0.135,0.352
Tr21,0.023,0.027,0.046,0.072,0.031,0.032,0.048,0.027,0.046,0.000,0.001,1.561,0.458,0.035,0.036,0.027,0.031,0.000,0.000,1.696,1.594,0.034,0.036,0.031,0.032,0.000,0.000,1.927,1.590,0.040,0.040,0.031,0.032,0.001,0.001,2.009,2.012,2.000,5.000,11.000,21.000,0.000,0.000,0.000,0.000,66.667,71.429,78.571,70.000,0.000,0.000,0.000,0.000,-0.011,0.001,0.000,0.000,2.200,0.140,0.428
Tr22,0.007,0.014,0.005,0.024,0.043,0.009,0.014,0.007,0.014,0.000,0.000,1.145,0.161,0.016,0.016,0.009,0.010,0.000,0.000,1.692,1.705,0.016,0.016,0.013,0.015,0.000,0.000,1.817,1.804,0.019,0.019,0.013,0.015,0.000,0.000,2.061,2.083,3.000,5.000,10.000,19.000,0.000,0.000,0.000,0.000,100.000,71.429,71.429,63.333,0.000,0.000,0.000,0.000,0.001,-0.001,0.000,0.000,1.650,0.460,0.026
Bo01,0.339,0.407,0.469,0.400,0.377,0.405,0.425,0.407,0.407,0.004,0.001,-0.125,1.663,0.410,0.453,0.400,0.407,0.003,0.009,0.774,1.451,0.444,0.451,0.418,0.433,0.008,0.007,0.870,0.934,0.470,0.472,0.447,0.447,0.012,0.011,1.240,1.305,3.000,7.000,13.000,27.000,0.000,0.000,0.000,0.000,100.000,100.000,92.857,90.000,0.000,0.000,0.000,0.000,-0.065,-0.012,-0.008,-0.004,4.400,0.730,0.128
Bo02,0.320,0.367,0.448,0.386,0.354,0.379,0.401,0.367,0.386,0.004,0.002,0.769,1.353,0.382,0.425,0.367,0.386,0.002,0.009,0.534,1.785,0.420,0.428,0.393,0.415,0.008,0.007,1.012,1.026,0.448,0.451,0.426,0.426,0.012,0.011,1.241,1.305,3.000,7.000,13.000,27.000,0.000,0.000,0.000,0.000,100.000,100.000,92.857,90.000,0.000,0.000,0.000,0.000,-0.064,-0.009,-0.008,-0.004,7.700,1.000,0.022
Bo03,0.302,0.329,0.419,0.376,0.324,0.350,0.375,0.329,0.376,0.004,0.002,1.355,-0.151,0.354,0.395,0.340,0.376,0.002,0.008,0.441,1.927,0.394,0.403,0.374,0.383,0.007,0.007,1.055,0.984,0.422,0.425,0.384,0.384,0.011,0.010,1.223,1.276,3.000,7.000,13.000,27.000,0.000,0.000,0.000,0.000,100.000,100.000,92.857,90.000,0.000,0.000,0.000,0.000,-0.058,-0.007,-0.008,-0.004,8.000,0.690,0.123
Bo04,0.273,0.288,0.369,0.348,0.285,0.310,0.335,0.288,0.348,0.003,0.002,1.563,-1.273,0.315,0.350,0.315,0.329,0.001,0.006,0.359,1.907,0.353,0.361,0.330,0.340,0.006,0.006,1.056,0.911,0.380,0.383,0.340,0.346,0.009,0.009,1.245,1.290,3.000,7.000,14.000,28.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,93.333,0.000,0.000,0.000,0.000,-0.048,-0.005,-0.007,-0.004,8.000,0.500,0.219
Bo05,0.167,0.184,0.222,0.197,0.181,0.191,0.201,0.184,0.197,0.001,0.000,1.061,0.858,0.192,0.216,0.193,0.197,0.000,0.003,0.439,2.313,0.216,0.221,0.198,0.199,0.002,0.002,1.422,1.365,0.242,0.244,0.211,0.219,0.005,0.005,1.436,1.480,3.000,7.000,14.000,28.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,93.333,0.000,0.000,0.000,0.000,-0.028,-0.003,-0.004,-0.003,1.400,0.110,0.256
Bo06,0.025,0.027,0.033,0.036,0.025,0.029,0.032,0.027,0.033,0.000,0.000,1.423,-1.146,0.030,0.032,0.031,0.033,0.000,0.000,-0.002,-0.473,0.032,0.032,0.032,0.033,0.000,0.000,0.505,0.258,0.032,0.032,0.031,0.031,0.000,0.000,0.525,0.541,3.000,7.000,11.000,22.000,0.000,0.000,0.000,0.000,100.000,100.000,78.571,73.333,0.000,0.000,0.000,0.000,-0.004,-0.001,0.000,0.000,1.600,0.100,0.288
Bo07,0.015,0.014,0.015,0.018,0.014,0.015,0.016,0.015,0.015,0.000,0.000,1.390,1.445,0.016,0.016,0.015,0.016,0.000,0.000,1.719,1.364,0.017,0.017,0.016,0.016,0.000,0.000,1.391,0.981,0.018,0.018,0.018,0.018,0.000,0.000,0.833,0.823,3.000,7.000,13.000,26.000,0.000,0.000,0.000,0.000,100.000,100.000,92.857,86.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.800,0.480,0.185
Bo08,0.144,0.157,0.177,0.167,0.152,0.159,0.167,0.157,0.167,0.000,0.000,0.704,0.130,0.161,0.179,0.161,0.167,0.000,0.002,-0.116,2.406,0.184,0.188,0.167,0.169,0.002,0.002,1.423,1.336,0.213,0.215,0.186,0.194,0.004,0.004,1.460,1.500,3.000,7.000,14.000,28.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,93.333,0.000,0.000,0.000,0.000,-0.017,-0.002,-0.004,-0.003,4.600,0.400,0.271
Bo09,0.014,0.013,0.014,0.017,0.013,0.014,0.015,0.014,0.014,0.000,0.000,1.545,1.574,0.014,0.015,0.014,0.014,0.000,0.000,1.183,0.665,0.018,0.019,0.018,0.018,0.000,0.000,1.159,0.835,0.021,0.021,0.020,0.020,0.000,0.000,1.190,1.217,3.000,7.000,13.000,26.000,0.000,0.000,0.000,0.000,100.000,100.000,92.857,86.667,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,1.300,0.150,0.187
Bo10,0.036,0.043,0.049,0.044,0.040,0.043,0.045,0.043,0.044,0.000,0.000,-0.186,1.346,0.045,0.050,0.044,0.049,0.000,0.000,-0.359,1.853,0.048,0.049,0.045,0.047,0.000,0.000,1.329,1.312,0.057,0.057,0.049,0.050,0.000,0.000,1.318,1.334,3.000,7.000,14.000,27.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,90.000,0.000,0.000,0.000,0.000,-0.007,-0.002,0.000,-0.001,2.000,0.150,0.399
Bo11,0.062,0.065,0.073,0.069,0.061,0.067,0.069,0.065,0.069,0.000,0.000,1.285,-0.481,0.066,0.071,0.065,0.069,0.000,0.000,0.332,1.802,0.073,0.074,0.069,0.070,0.000,0.000,1.442,1.255,0.083,0.084,0.076,0.077,0.000,0.000,1.412,1.417,3.000,7.000,14.000,29.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,96.667,0.000,0.000,0.000,0.000,-0.005,0.000,-0.001,-0.001,2.800,0.350,0.158
Bo12,0.036,0.034,0.037,0.040,0.035,0.036,0.037,0.036,0.037,0.000,0.000,0.350,-0.237,0.036,0.037,0.036,0.037,0.000,0.000,0.509,0.499,0.041,0.042,0.041,0.042,0.000,0.000,1.258,0.923,0.046,0.047,0.043,0.044,0.000,0.000,1.442,1.365,3.000,7.000,14.000,29.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,96.667,0.000,0.000,0.000,0.000,-0.001,0.000,-0.001,-0.001,1.050,0.150,0.308
Je01,0.345,0.442,0.631,0.773,0.761,0.473,0.615,0.442,0.631,0.021,0.028,0.904,-0.419,0.606,0.640,0.631,0.631,0.025,0.013,-0.775,-0.622,0.594,0.596,0.622,0.622,0.061,0.060,0.369,0.377,0.448,0.449,0.356,0.361,0.050,0.050,1.255,1.254,3.000,5.000,9.000,25.000,0.000,0.000,0.000,0.000,100.000,71.429,64.286,83.333,0.000,0.000,0.000,0.000,-0.143,-0.050,0.008,0.014,5.100,0.560,0.339
Je02,0.237,0.305,0.435,0.526,0.491,0.326,0.422,0.305,0.435,0.010,0.012,0.875,-0.517,0.392,0.396,0.409,0.409,0.011,0.009,-0.234,-0.010,0.357,0.357,0.362,0.362,0.024,0.024,0.339,0.338,0.282,0.282,0.239,0.239,0.018,0.018,1.234,1.234,3.000,6.000,12.000,28.000,0.000,0.000,0.000,0.000,100.000,85.714,85.714,93.333,0.000,0.000,0.000,0.000,-0.099,-0.021,0.010,0.008,1.500,0.150,0.232
Je03,0.089,0.112,0.153,0.223,0.254,0.118,0.163,0.112,0.153,0.001,0.003,0.814,0.744,0.191,0.222,0.223,0.252,0.005,0.004,-0.539,-0.808,0.212,0.213,0.230,0.230,0.010,0.010,0.335,0.366,0.146,0.147,0.106,0.106,0.008,0.008,1.343,1.344,3.000,3.000,6.000,22.000,0.000,0.000,0.000,0.000,100.000,42.857,42.857,73.333,0.000,0.000,0.000,0.000,-0.032,-0.032,-0.003,0.006,3.500,0.200,0.332
Je04,0.036,0.050,0.068,0.105,0.131,0.051,0.074,0.050,0.068,0.000,0.001,0.318,1.000,0.092,0.107,0.105,0.122,0.002,0.001,-0.405,-0.919,0.099,0.099,0.094,0.094,0.003,0.003,0.407,0.416,0.060,0.060,0.034,0.032,0.003,0.003,1.375,1.373,1.000,1.000,2.000,18.000,0.000,0.000,2.000,2.000,33.333,14.286,14.286,60.000,0.000,0.000,14.286,6.667,-0.016,-0.018,-0.001,0.004,4.000,0.610,0.471
Je05,0.228,0.292,0.410,0.515,0.491,0.310,0.406,0.292,0.410,0.009,0.013,0.846,-0.164,0.383,0.389,0.406,0.406,0.011,0.009,-0.210,0.092,0.346,0.346,0.340,0.340,0.022,0.022,0.231,0.231,0.273,0.273,0.227,0.228,0.016,0.016,1.184,1.184,3.000,6.000,12.000,28.000,0.000,0.000,0.000,0.000,100.000,85.714,85.714,93.333,0.000,0.000,0.000,0.000,-0.091,-0.023,0.010,0.007,4.200,0.260,0.779
Je06,0.208,0.263,0.379,0.466,0.443,0.283,0.369,0.263,0.379,0.008,0.010,0.994,-0.420,0.348,0.352,0.362,0.362,0.009,0.007,-0.231,0.020,0.313,0.313,0.316,0.316,0.019,0.019,0.298,0.298,0.247,0.247,0.208,0.208,0.014,0.014,1.204,1.204,3.000,7.000,13.000,29.000,0.000,0.000,0.000,0.000,100.000,100.000,92.857,96.667,0.000,0.000,0.000,0.000,-0.086,-0.021,0.010,0.007,3.700,0.150,1.429
Je07,0.040,0.043,0.044,0.053,0.051,0.043,0.047,0.043,0.044,0.000,0.000,-1.545,1.705,0.048,0.051,0.044,0.051,0.000,0.000,0.868,0.329,0.054,0.054,0.045,0.047,0.000,0.000,2.004,1.997,0.050,0.051,0.045,0.046,0.000,0.000,2.881,2.735,3.000,7.000,12.000,28.000,0.000,0.000,0.000,0.000,100.000,100.000,85.714,93.333,0.000,0.000,0.000,0.000,-0.002,-0.002,-0.001,0.000,1.800,0.440,0.082
Je08,0.125,0.161,0.250,0.334,0.325,0.179,0.248,0.161,0.250,0.004,0.007,1.143,-0.094,0.237,0.241,0.248,0.248,0.006,0.005,-0.112,0.134,0.202,0.200,0.203,0.203,0.011,0.011,0.130,0.139,0.148,0.148,0.121,0.113,0.008,0.008,1.087,1.097,2.000,3.000,8.000,24.000,0.000,0.000,0.000,0.000,66.667,42.857,57.143,80.000,0.000,0.000,0.000,0.000,-0.063,-0.018,0.009,0.005,2.400,0.340,0.389
Je09,0.058,0.076,0.107,0.144,0.141,0.080,0.109,0.076,0.107,0.001,0.001,0.828,0.232,0.105,0.108,0.107,0.107,0.001,0.001,-0.123,0.272,0.099,0.099,0.085,0.085,0.003,0.003,0.905,0.906,0.070,0.069,0.057,0.055,0.002,0.002,1.719,1.718,2.000,3.000,8.000,24.000,0.000,0.000,0.000,0.000,66.667,42.857,57.143,80.000,0.000,0.000,0.000,0.000,-0.024,-0.008,0.002,0.003,2.200,0.270,0.174
Je10,0.031,0.049,0.078,0.129,0.123,0.053,0.085,0.049,0.078,0.001,0.002,0.603,0.808,0.083,0.088,0.078,0.078,0.001,0.001,-0.102,0.346,0.063,0.062,0.067,0.067,0.002,0.002,0.091,0.066,0.034,0.033,0.015,0.013,0.001,0.002,1.213,1.233,0.000,0.000,3.000,19.000,0.000,0.000,0.000,0.000,0.000,0.000,21.429,63.333,0.000,0.000,0.000,0.000,-0.024,-0.010,0.005,0.003,1.300,0.400,0.272
Ki01,0.062,0.040,0.071,0.200,0.138,0.058,0.104,0.062,0.071,0.000,0.007,-1.136,1.468,0.084,0.085,0.062,0.064,0.004,0.004,1.402,1.394,0.085,0.090,0.072,0.076,0.002,0.002,1.416,1.041,0.103,0.106,0.072,0.076,0.006,0.006,1.743,1.663,3.000,6.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,83.333,0.000,0.000,0.000,0.000,-0.005,0.000,0.000,0.000,3.400,0.380,0.294
Ki02,0.051,0.042,0.043,0.165,0.130,0.045,0.083,0.043,0.043,0.000,0.005,1.572,1.731,0.071,0.071,0.043,0.043,0.003,0.003,1.313,1.317,0.071,0.075,0.056,0.067,0.002,0.002,1.330,0.999,0.088,0.089,0.056,0.067,0.005,0.005,1.693,1.625,3.000,6.000,13.000,24.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,80.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,2.900,0.260,0.189
Ki03,0.010,0.014,0.005,0.038,0.043,0.010,0.019,0.010,0.014,0.000,0.000,-0.735,1.259,0.019,0.019,0.010,0.013,0.000,0.000,1.149,1.121,0.018,0.018,0.013,0.014,0.000,0.000,1.395,1.370,0.021,0.021,0.013,0.014,0.000,0.000,2.247,2.256,3.000,5.000,12.000,23.000,0.000,0.000,0.000,0.000,100.000,71.429,85.714,76.667,0.000,0.000,0.000,0.000,0.003,-0.001,0.000,0.000,1.100,0.220,0.195
Ki04,0.031,0.028,0.022,0.103,0.080,0.027,0.051,0.028,0.028,0.000,0.002,-0.985,1.699,0.043,0.042,0.028,0.028,0.001,0.001,1.295,1.311,0.043,0.045,0.033,0.041,0.001,0.001,1.252,0.950,0.053,0.055,0.033,0.041,0.002,0.002,1.592,1.499,3.000,5.000,12.000,23.000,0.000,0.000,0.000,0.000,100.000,71.429,85.714,76.667,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,2.500,0.270,0.318
Ki05,0.011,0.016,0.009,0.033,0.039,0.012,0.020,0.011,0.016,0.000,0.000,0.892,1.174,0.019,0.019,0.011,0.013,0.000,0.000,1.193,1.185,0.019,0.020,0.017,0.018,0.000,0.000,1.227,0.932,0.023,0.023,0.017,0.018,0.000,0.000,1.646,1.649,3.000,5.000,9.000,17.000,0.000,0.000,0.000,0.000,100.000,71.429,64.286,56.667,0.000,0.000,0.000,0.000,0.001,-0.001,0.000,0.000,1.100,0.540,0.064
Ki06,0.007,0.017,0.006,0.028,0.059,0.010,0.017,0.007,0.017,0.000,0.000,1.730,0.198,0.018,0.018,0.007,0.006,0.000,0.000,1.779,1.775,0.018,0.019,0.014,0.016,0.000,0.000,1.648,1.521,0.023,0.023,0.013,0.016,0.001,0.001,1.504,1.502,3.000,6.000,13.000,23.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,76.667,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,3.400,0.500,0.019
Ki07,0.004,0.007,0.003,0.014,0.020,0.005,0.008,0.004,0.007,0.000,0.000,1.695,0.995,0.008,0.008,0.004,0.004,0.000,0.000,1.385,1.393,0.008,0.009,0.007,0.008,0.000,0.000,1.390,1.037,0.011,0.011,0.007,0.008,0.000,0.000,1.553,1.554,3.000,5.000,11.000,20.000,0.000,0.000,0.000,0.000,100.000,71.429,78.571,66.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.380,0.018
Sa01,0.082,0.087,0.080,0.091,0.087,0.083,0.086,0.082,0.087,0.000,0.000,1.206,-0.728,0.096,0.097,0.087,0.087,0.000,0.000,1.272,1.296,0.097,0.099,0.093,0.095,0.000,0.000,1.028,0.986,0.113,0.114,0.108,0.109,0.001,0.001,1.435,1.364,3.000,7.000,14.000,27.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,90.000,0.000,0.000,0.000,0.000,0.001,-0.008,-0.001,-0.002,4.400,0.340,0.202
sa02,0.008,0.011,0.005,0.010,0.004,0.008,0.009,0.008,0.010,0.000,0.000,-0.180,-1.208,0.012,0.012,0.010,0.010,0.000,0.000,1.514,1.508,0.012,0.012,0.010,0.010,0.000,0.000,1.625,1.623,0.014,0.014,0.011,0.011,0.000,0.000,2.234,2.244,3.000,6.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,83.333,0.000,0.000,0.000,0.000,0.002,-0.003,0.000,0.000,1.800,0.180,0.252
Sa03,0.028,0.032,0.022,0.030,0.017,0.027,0.028,0.028,0.030,0.000,0.000,-0.681,-1.317,0.036,0.036,0.030,0.030,0.000,0.000,1.329,1.321,0.035,0.036,0.031,0.031,0.000,0.000,1.468,1.466,0.040,0.041,0.033,0.034,0.000,0.000,2.331,2.336,3.000,5.000,11.000,22.000,0.000,0.000,0.000,1.000,100.000,71.429,78.571,73.333,0.000,0.000,7.143,3.333,0.003,-0.006,-0.001,-0.001,2.400,0.860,0.050
Sa04,0.024,0.030,0.021,0.027,0.020,0.025,0.026,0.024,0.027,0.000,0.000,1.034,-1.213,0.030,0.030,0.027,0.027,0.000,0.000,1.966,1.924,0.030,0.031,0.029,0.029,0.000,0.000,1.893,1.921,0.034,0.035,0.031,0.032,0.000,0.000,2.195,2.217,3.000,6.000,13.000,26.000,0.000,0.000,0.000,0.000,100.000,85.714,92.857,86.667,0.000,0.000,0.000,0.000,0.001,-0.004,-0.001,0.000,1.700,0.200,0.156
Ju01,0.175,0.150,0.138,0.131,0.141,0.154,0.140,0.150,0.138,0.000,0.000,0.895,0.935,0.146,0.150,0.141,0.141,0.000,0.001,1.699,2.305,0.166,0.163,0.155,0.150,0.001,0.001,1.243,1.407,0.176,0.176,0.164,0.164,0.001,0.001,1.080,1.093,3.000,7.000,12.000,24.000,0.000,0.000,0.000,0.000,100.000,100.000,85.714,80.000,0.000,0.000,0.000,0.000,0.018,0.004,-0.005,-0.002,5.700,0.500,0.189
Ju02,0.068,0.062,0.055,0.055,0.055,0.062,0.057,0.062,0.055,0.000,0.000,-0.061,1.728,0.058,0.059,0.055,0.055,0.000,0.000,1.610,1.898,0.065,0.064,0.061,0.060,0.000,0.000,1.108,1.290,0.069,0.069,0.066,0.066,0.000,0.000,1.046,1.049,3.000,7.000,13.000,26.000,0.000,0.000,0.000,0.000,100.000,100.000,92.857,86.667,0.000,0.000,0.000,0.000,0.007,0.002,-0.002,-0.001,2.300,0.210,0.203
Ju03,0.095,0.082,0.070,0.068,0.070,0.082,0.073,0.082,0.070,0.000,0.000,0.179,1.611,0.075,0.076,0.070,0.070,0.000,0.000,1.729,2.009,0.087,0.085,0.080,0.076,0.000,0.000,1.087,1.300,0.093,0.092,0.085,0.083,0.001,0.001,1.093,1.141,3.000,7.000,12.000,23.000,0.000,0.000,0.000,0.000,100.000,100.000,85.714,76.667,0.000,0.000,0.000,0.000,0.013,0.003,-0.003,-0.001,2.700,0.320,0.251
Ju04,0.027,0.024,0.019,0.019,0.019,0.023,0.021,0.024,0.019,0.000,0.000,-0.442,1.730,0.021,0.021,0.019,0.019,0.000,0.000,1.325,1.325,0.024,0.024,0.023,0.021,0.000,0.000,1.028,1.273,0.026,0.026,0.024,0.023,0.000,0.000,1.088,1.144,3.000,7.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,100.000,92.857,83.333,0.000,0.000,0.000,0.000,0.004,0.001,-0.001,0.000,4.900,0.150,0.332
